nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
10963,19690,event,,Grilling in the Garden Dinner Series ,19,1,1421342629,1421346727,0,1,0,0,0,0
10965,20813,event,,"Berries, Brews & BBQ",19,1,1421346151,1433370498,0,1,0,0,0,0
10966,19684,event,,"Berries, Brews & BBQ",19,1,1421346204,1421346204,0,1,0,0,0,0
10967,19686,event,,Hoedown & Hog Roast ,19,1,1421346358,1421346401,0,1,0,0,0,0
10968,19691,event,,Grilling in the Garden Dinner Series ,19,1,1421346808,1421346808,0,1,0,0,0,0
10969,19692,event,,Grilling in the Garden Dinner Series ,19,1,1421346883,1421346883,0,1,0,0,0,0
10970,19693,event,,Grilling in the Garden Dinner Series ,19,1,1421347025,1421347025,0,1,0,0,0,0
10971,19694,event,,Grilling in the Garden Dinner Series ,19,1,1421347077,1421347077,0,1,0,0,0,0
10972,20948,event,,Fall into the Garden ,19,1,1421347402,1434740052,0,1,0,0,0,0
10973,19696,event,,"Pumpkin Patch, Pig Races, Mazes & More",19,1,1421347773,1421347773,0,1,0,0,0,0
10975,19698,event,,Salem Historic Downtown Tours,19,1,1421348229,1421348229,0,1,0,0,0,0
10976,19699,event,,Salem Historic Downtown Tours,19,1,1421348347,1421348347,0,1,0,0,0,0
10977,19700,event,,Salem Historic Downtown Tours,19,1,1421348410,1421348410,0,1,0,0,0,0
10986,19714,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953263,1421953263,0,1,0,0,0,0
10987,19715,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953368,1421953368,0,1,0,0,0,0
10988,19716,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953435,1421953435,0,1,0,0,0,0
10989,19717,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953615,1421953615,0,1,0,0,0,0
10990,19718,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953685,1421953685,0,1,0,0,0,0
10991,19719,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953867,1421953867,0,1,0,0,0,0
10992,19720,event,,Wednesday Wine Tasting at Bentley's Grill,19,1,1421953944,1421953944,0,1,0,0,0,0
10993,19725,event,,50 Works | 50 Weeks | 50 Years,19,1,1421955773,1421955773,0,1,0,0,0,0
11075,20168,event,,Willamette Valley Wine & Jazz Festival,19,1,1424217171,1426872822,0,1,0,0,0,0
