nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
656,1130,image,,Oregon-Bounty-Logo,4,1,1237681840,1237681840,0,1,0,0,0,0
658,1152,image,,Attractions Icon,1,1,1237922062,1237922062,0,1,0,0,0,0
659,1153,image,,Dining Icon,1,1,1237922108,1237922108,0,1,0,0,0,0
681,1197,image,,Capital-Manor,4,1,1238193026,1238193026,0,1,0,0,0,0
682,1200,image,,Salem-Hospital,4,1,1238193086,1238193086,0,1,0,0,0,0
683,1215,image,,Wooden-Shoe-Ad-2009,4,1,1238193925,1240596688,0,1,0,0,0,0
684,1218,image,,Schrieners-Pano,4,1,1238195552,1238195552,0,1,0,0,0,0
685,1222,image,,Wooden Shoe tulip Festival,1,1,1238438318,1238438318,0,1,0,0,0,0
718,1274,image,,Wooden-Shoe-Tulip-Farm,4,1,1238515584,1238515584,0,1,0,0,0,0
768,1331,image,,Salem-Alive-Events-Sidebar,4,1,1238527056,1238527056,0,1,0,0,0,0
779,1349,image,,Wooden-Shoe-Ad-2009-Horizontal,4,1,1238601007,1240596506,0,1,0,0,0,0
780,1351,image,,Travel-Cafe,4,1,1238602882,1238602882,0,1,0,0,0,0
799,1378,image,,Virtually-Sold-By-Sarah,4,1,1238695749,1238695749,0,1,0,0,0,0
800,1390,image,,Keizer-Ren-Inn-Jacuzzi-Room,4,1,1238711721,1238711721,0,1,0,0,0,0
801,1392,image,,Keizer-Ren-Inn-Banquet-Room,4,1,1238711988,1238711988,0,1,0,0,0,0
816,1425,image,,Keizer-Heritage-Museum-Meeting-Space,4,1,1239035152,1239035152,0,1,0,0,0,0
824,1446,image,,Salem-Electric,4,1,1239061469,1239061469,0,1,0,0,0,0
833,1464,image,,Absolutely-Tix-Logo,4,1,1239222400,1239222400,0,1,0,0,0,0
834,1474,image,,Travel-Cafe-Ron-Cooper,4,1,1239232649,1239232649,0,1,0,0,0,0
836,1491,image,,Grand-Vines,4,1,1239380091,1239380091,0,1,0,0,0,0
839,1505,image,,La-Lumiere-Massage-Boutique,4,1,1239743668,1239743668,0,1,0,0,0,0
841,1507,image,,Become-A-Member-Button,4,1,1239744051,1239744115,0,1,0,0,0,0
842,1521,image,,Feller-House-Bed-and-Breakfast,4,1,1239831895,1239831895,0,1,0,0,0,0
861,1555,image,,Historic-Deepwood-Estate,4,1,1240092716,1240092754,0,1,0,0,0,0
864,1586,image,,2009-Gov-Conf-Award,4,1,1240599455,1240599455,0,1,0,0,0,0
867,1591,image,,Firesteed-Logo,4,1,1240868939,1240868939,0,1,0,0,0,0
875,1620,image,,Firesteed-Cellars,4,1,1240875722,1240875722,0,1,0,0,0,0
876,1627,image,,Extreme-Chocolates,4,1,1240934747,1240934747,0,1,0,0,0,0
877,1629,image,,Gordon-House,4,1,1240935630,1240935630,0,1,0,0,0,0
884,1653,image,,Oregon-150-Challange,4,1,1240950935,1240950935,0,1,0,0,0,0
900,1694,image,,Teresa-Lulay-Insurance,4,1,1240961692,1240961692,0,1,0,0,0,0
903,1701,image,,Go-Downtown-Logo,4,1,1241030356,1241030356,0,1,0,0,0,0
904,1702,image,,Bauman-Farms,4,1,1241045635,1241045635,0,1,0,0,0,0
920,1770,image,,Best-Western-Logo,4,1,1241808308,1241808308,0,1,0,0,0,0
921,1771,image,,Comfort-Inn-And-Suites,4,1,1241808474,1241808474,0,1,0,0,0,0
922,1772,image,,Comfort-Suites-Logo,4,1,1241808547,1241808547,0,1,0,0,0,0
923,1773,image,,Crossland-Logo,4,1,1241808610,1241808610,0,1,0,0,0,0
924,1775,image,,Howard-Johnson-Logo,4,1,1241808688,1241808688,0,1,0,0,0,0
925,1776,image,,Keizer-Renaissance-Inn-Logo,4,1,1241808758,1241808758,0,1,0,0,0,0
926,1777,image,,Phoenix-Inn-Logo,4,1,1241809006,1241809006,0,1,0,0,0,0
927,1779,image,,Shilo-Logo,4,1,1241809350,1241809350,0,1,0,0,0,0
928,1782,image,,Softball,4,1,1241809544,1241809544,0,1,0,0,0,0
955,1833,image,,North-Santiam-River-Trips,4,1,1242334670,1242334670,0,1,0,0,0,0
965,1853,image,,Personnel-Sources-May-Sponsor,4,1,1242774886,1242774886,0,1,0,0,0,0
981,1869,image,,Personnel-Source-Ad-2009,4,1,1242856586,1242856586,0,1,0,0,0,0
982,1870,image,,Personnel-Source-May-Ad-2009,4,1,1242857353,1242857353,0,1,0,0,0,0
984,1875,image,,Newsletter-Adelman,4,1,1242926056,1242926056,0,1,0,0,0,0
985,1876,image,,Newsletter-Health-Markets,4,1,1242926083,1242926083,0,1,0,0,0,0
986,1877,image,,Newsletter-Lights,4,1,1242926110,1242926110,0,1,0,0,0,0
