vid,nid,delta,field_event_start_date_value,field_event_start_date_value2,field_event_start_date_rrule
18960,10547,0,2015-06-21T19:30:00,2015-06-21T21:30:00,NULL
18961,10548,0,2015-07-05T02:00:00,2015-07-05T04:00:00,NULL
18962,10548,0,2015-07-05T02:00:00,2015-07-05T04:00:00,NULL
18963,10549,0,2015-09-11T21:00:00,2015-09-11T22:00:00,NULL
19014,9721,0,2014-10-03T17:00:00,2014-10-05T19:00:00,NULL
19272,10713,0,2014-11-28T20:00:00,2014-11-30T20:00:00,NULL
19273,10713,0,2014-11-28T20:00:00,2014-11-28T20:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19273,10713,1,2014-11-29T20:00:00,2014-11-29T20:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19273,10713,2,2014-11-30T20:00:00,2014-11-30T20:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19388,10798,0,2014-12-07T21:00:00,2014-12-08T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20141215T075959Z;WKST=SU
19388,10798,1,2014-12-14T21:00:00,2014-12-15T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20141215T075959Z;WKST=SU
19410,10798,0,2014-12-07T21:00:00,2014-12-08T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20141215T075959Z;WKST=SU
19410,10798,1,2014-12-14T21:00:00,2014-12-15T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20141215T075959Z;WKST=SU
19413,10799,0,2014-11-28T20:00:00,2014-11-29T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19413,10799,1,2014-11-29T20:00:00,2014-11-30T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19413,10799,2,2014-11-30T20:00:00,2014-12-01T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141201T075959Z;WKST=SU
19454,10825,0,2014-12-20T01:30:00,2014-12-20T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19454,10825,1,2014-12-21T01:30:00,2014-12-21T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19454,10825,2,2014-12-22T01:30:00,2014-12-22T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19454,10825,3,2014-12-23T01:30:00,2014-12-23T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19454,10825,4,2014-12-24T01:30:00,2014-12-24T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19455,10825,0,2014-12-20T01:30:00,2014-12-20T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19455,10825,1,2014-12-21T01:30:00,2014-12-21T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19455,10825,2,2014-12-22T01:30:00,2014-12-22T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
