vid,nid,delta,field_event_start_date_value,field_event_start_date_value2,field_event_start_date_rrule
19989,11119,27,2015-09-02T20:00:00,2015-09-02T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,28,2015-09-09T20:00:00,2015-09-09T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,29,2015-09-16T20:00:00,2015-09-16T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,30,2015-09-23T20:00:00,2015-09-23T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,31,2015-09-30T20:00:00,2015-09-30T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,32,2015-10-07T20:00:00,2015-10-07T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,33,2015-10-14T20:00:00,2015-10-14T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,34,2015-10-21T20:00:00,2015-10-21T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,35,2015-10-28T20:00:00,2015-10-28T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,36,2015-11-04T21:00:00,2015-11-05T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,37,2015-11-11T21:00:00,2015-11-12T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,38,2015-11-18T21:00:00,2015-11-19T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,39,2015-11-25T21:00:00,2015-11-26T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,40,2015-12-02T21:00:00,2015-12-03T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,41,2015-12-09T21:00:00,2015-12-10T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,42,2015-12-16T21:00:00,2015-12-17T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
19989,11119,43,2015-12-23T21:00:00,2015-12-24T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20047,11167,0,2015-05-26T23:00:00,2015-05-27T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,1,2015-06-02T23:00:00,2015-06-03T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,2,2015-06-09T23:00:00,2015-06-10T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,3,2015-06-16T23:00:00,2015-06-17T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,4,2015-06-23T23:00:00,2015-06-24T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,5,2015-06-30T23:00:00,2015-07-01T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,6,2015-07-07T23:00:00,2015-07-08T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,7,2015-07-14T23:00:00,2015-07-15T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,8,2015-07-21T23:00:00,2015-07-22T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,9,2015-07-28T23:00:00,2015-07-29T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,10,2015-08-04T23:00:00,2015-08-05T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,11,2015-08-11T23:00:00,2015-08-12T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,12,2015-08-18T23:00:00,2015-08-19T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,13,2015-08-25T23:00:00,2015-08-26T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,14,2015-09-01T23:00:00,2015-09-02T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,15,2015-09-08T23:00:00,2015-09-09T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,16,2015-09-15T23:00:00,2015-09-16T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20047,11167,17,2015-09-22T23:00:00,2015-09-23T03:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150929T065959Z;WKST=SU
20056,11119,0,2015-03-01T21:00:00,2015-03-02T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,1,2015-03-04T21:00:00,2015-03-05T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,2,2015-03-11T20:00:00,2015-03-11T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,3,2015-03-18T20:00:00,2015-03-18T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,4,2015-03-25T20:00:00,2015-03-25T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,5,2015-04-01T20:00:00,2015-04-01T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,6,2015-04-08T20:00:00,2015-04-08T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,7,2015-04-15T20:00:00,2015-04-15T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,8,2015-04-22T20:00:00,2015-04-22T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,9,2015-04-29T20:00:00,2015-04-29T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,10,2015-05-06T20:00:00,2015-05-06T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,11,2015-05-13T20:00:00,2015-05-13T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,12,2015-05-20T20:00:00,2015-05-20T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,13,2015-05-27T20:00:00,2015-05-27T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,14,2015-06-03T20:00:00,2015-06-03T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,15,2015-06-10T20:00:00,2015-06-10T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,16,2015-06-17T20:00:00,2015-06-17T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,17,2015-06-24T20:00:00,2015-06-24T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,18,2015-07-01T20:00:00,2015-07-01T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,19,2015-07-08T20:00:00,2015-07-08T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,20,2015-07-15T20:00:00,2015-07-15T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,21,2015-07-22T20:00:00,2015-07-22T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,22,2015-07-29T20:00:00,2015-07-29T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,23,2015-08-05T20:00:00,2015-08-05T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,24,2015-08-12T20:00:00,2015-08-12T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,25,2015-08-19T20:00:00,2015-08-19T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,26,2015-08-26T20:00:00,2015-08-26T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,27,2015-09-02T20:00:00,2015-09-02T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,28,2015-09-09T20:00:00,2015-09-09T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,29,2015-09-16T20:00:00,2015-09-16T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,30,2015-09-23T20:00:00,2015-09-23T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,31,2015-09-30T20:00:00,2015-09-30T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,32,2015-10-07T20:00:00,2015-10-07T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,33,2015-10-14T20:00:00,2015-10-14T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,34,2015-10-21T20:00:00,2015-10-21T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,35,2015-10-28T20:00:00,2015-10-28T23:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,36,2015-11-04T21:00:00,2015-11-05T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,37,2015-11-11T21:00:00,2015-11-12T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,38,2015-11-18T21:00:00,2015-11-19T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,39,2015-11-25T21:00:00,2015-11-26T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,40,2015-12-02T21:00:00,2015-12-03T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,41,2015-12-09T21:00:00,2015-12-10T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,42,2015-12-16T21:00:00,2015-12-17T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20056,11119,43,2015-12-23T21:00:00,2015-12-24T00:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=WE;UNTIL=20151228T075959Z;WKST=SU
20059,8953,0,2015-04-18T16:00:00,2015-04-19T00:00:00,NULL
20168,11075,0,2015-03-28T01:00:00,2015-03-28T06:00:00,NULL
20265,11269,0,2015-05-29T17:00:00,2015-05-29T23:00:00,NULL
20277,10907,0,2015-02-14T03:00:00,2015-02-14T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,1,2015-03-14T02:00:00,2015-03-14T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,2,2015-05-09T02:00:00,2015-05-09T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,3,2015-07-11T02:00:00,2015-07-11T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,4,2015-08-15T02:00:00,2015-08-15T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,5,2015-09-12T02:00:00,2015-09-12T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,6,2015-10-10T02:00:00,2015-10-10T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,7,2015-11-14T03:00:00,2015-11-14T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20277,10907,8,2015-12-12T03:00:00,2015-12-12T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150410T070000Z,20150612T070000Z"
20296,11275,0,2015-07-30T02:30:00,2015-07-30T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,1,2015-07-31T02:30:00,2015-07-31T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,2,2015-08-01T02:30:00,2015-08-01T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,3,2015-08-02T02:30:00,2015-08-02T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,4,2015-08-06T02:30:00,2015-08-06T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,5,2015-08-07T02:30:00,2015-08-07T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,6,2015-08-08T02:30:00,2015-08-08T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,7,2015-08-09T02:30:00,2015-08-09T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,8,2015-08-13T02:30:00,2015-08-13T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,9,2015-08-14T02:30:00,2015-08-14T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,10,2015-08-15T02:30:00,2015-08-15T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20296,11275,11,2015-08-16T02:30:00,2015-08-16T05:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA;UNTIL=20150817T065959Z;WKST=SU"
20297,11276,0,2015-08-02T21:30:00,2015-08-02T21:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150817T065959Z;WKST=SU
20297,11276,1,2015-08-09T21:30:00,2015-08-09T21:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150817T065959Z;WKST=SU
20297,11276,2,2015-08-16T21:30:00,2015-08-16T21:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20150817T065959Z;WKST=SU
20301,11280,0,2015-09-12T00:00:00,2015-09-12T08:00:00,NULL
20303,11281,0,2015-09-12T17:00:00,2015-09-13T17:00:00,NULL
20305,11283,0,2015-04-15T17:00:00,2015-04-16T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,1,2015-04-16T17:00:00,2015-04-17T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,2,2015-04-17T17:00:00,2015-04-18T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,3,2015-04-18T17:00:00,2015-04-19T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,4,2015-04-19T17:00:00,2015-04-20T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,5,2015-04-20T17:00:00,2015-04-21T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,6,2015-04-21T17:00:00,2015-04-22T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,7,2015-04-22T17:00:00,2015-04-23T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,8,2015-04-23T17:00:00,2015-04-24T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,9,2015-04-24T17:00:00,2015-04-25T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,10,2015-04-25T17:00:00,2015-04-26T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,11,2015-04-26T17:00:00,2015-04-27T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,12,2015-04-27T17:00:00,2015-04-28T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,13,2015-04-28T17:00:00,2015-04-29T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,14,2015-04-29T17:00:00,2015-04-30T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,15,2015-04-30T17:00:00,2015-05-01T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,16,2015-05-01T17:00:00,2015-05-02T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,17,2015-05-02T17:00:00,2015-05-03T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,18,2015-05-03T17:00:00,2015-05-04T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,19,2015-05-04T17:00:00,2015-05-05T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,20,2015-05-05T17:00:00,2015-05-06T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,21,2015-05-06T17:00:00,2015-05-07T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,22,2015-05-07T17:00:00,2015-05-08T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,23,2015-05-08T17:00:00,2015-05-09T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,24,2015-05-09T17:00:00,2015-05-10T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,25,2015-05-10T17:00:00,2015-05-11T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,26,2015-05-11T17:00:00,2015-05-12T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,27,2015-05-12T17:00:00,2015-05-13T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,28,2015-05-13T17:00:00,2015-05-14T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,29,2015-05-14T17:00:00,2015-05-15T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,30,2015-05-15T17:00:00,2015-05-16T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,31,2015-05-16T17:00:00,2015-05-17T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,32,2015-05-17T17:00:00,2015-05-18T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,33,2015-05-18T17:00:00,2015-05-19T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,34,2015-05-19T17:00:00,2015-05-20T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,35,2015-05-20T17:00:00,2015-05-21T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,36,2015-05-21T17:00:00,2015-05-22T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,37,2015-05-22T17:00:00,2015-05-23T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,38,2015-05-23T17:00:00,2015-05-24T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,39,2015-05-24T17:00:00,2015-05-25T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,40,2015-05-25T17:00:00,2015-05-26T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,41,2015-05-26T17:00:00,2015-05-27T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,42,2015-05-27T17:00:00,2015-05-28T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,43,2015-05-28T17:00:00,2015-05-29T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,44,2015-05-29T17:00:00,2015-05-30T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,45,2015-05-30T17:00:00,2015-05-31T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,46,2015-05-31T17:00:00,2015-06-01T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,47,2015-06-01T17:00:00,2015-06-02T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,48,2015-06-02T17:00:00,2015-06-03T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,49,2015-06-03T17:00:00,2015-06-04T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,50,2015-06-04T17:00:00,2015-06-05T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
20305,11283,51,2015-06-05T17:00:00,2015-06-06T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150608T065959Z;WKST=SU
